"a","s","l"
"ActaEndocrinolCopenhagen","Acta Endocrinol.","ACTA Endocrinologica"
"ActaEndoscopica","Acta Endoscopica","Acta Endoscopica"
"ActaEurFertil","Acta Eur. Fertil.","ACTA Europaea Fertilitatis"
"ActaGastroenterolBelg","Acta Gastroenterol. Belg.","ACTA Gastroenterologica Belgica"
"ActaGastroenterolLatinoam","Acta Gastroenterol. Latinoam.","ACTA Gastroenterologica Latinoamericana"
"ActaGenetMedGemellolRoma","Acta Genet. Med. Gemellol.","ACTA Geneticae Medicae et Gemellologiae"
"ActaGeoCartoSin","ACTA Geod. Cartographica Sinica","ACTA Geodaetica et Cartographica Sinica"
"ActaHaematol","Acta Haematol.","ACTA Haematologica"
"ActaHaematolPol","Acta Haematol. Pol.","ACTA Haematologica Polonica"
"ActaHistochem","Acta Histochem.","ACTA Histochemica"
"ActaHistochemSuppl","Acta Histochem. Suppl.","ACTA Histochemica. Supplementband"
"ActaHort","Acta Hort.","Acta Horticulturae"
"ActaLeiden","Acta Leiden.","ACTA Leidensia"
"ActaLeprol","Acta Leprol.","Acta Leprologica"
"ActaMedAustriaca","Acta Med. Austriaca","ACTA Medica Austriaca"
"ActaMedAustiacaSuppl","Acta Med. Austiaca Suppl.","ACTA Medica Austriaca. Supplement"
"ActaMedCroatica","Acta Med Croatica","ACTA Medica Croatica"
"ActaMedHung","Acta Med. Hung.","ACTA Medica Hungarica"
"ActaMedIugosl","Acta Med. Iugosl.","ACTA Medica Iugoslavica"
"ActaMedOkayama","Acta Med. Okayama","ACTA Medica Okayama"
"ActaMedPol","Acta Med. Pol.","ACTA Medica Polona"
"ActaMedPort","Acta Med. Port.","ACTA Medica Portuguesa"
"ActaMedLegSocLiege","Acta Med. Leg. Soc.","ACTA Medicinae Legalis et Socialis"
"ActaMicrobiolBulg","Acta Microbiol. Bulg.","ACTA Microbiologica Bulgarica"
"ActaMicrobiolHung","Acta Microbiol. Hung.","ACTA Microbiologica Hungarica"
"ActaMicrobiolPol","Acta Microbiol. Pol.","ACTA Microbiologica Polonica"
"ActaMorpholHung","Acta Morphol. Hung.","ACTA Morphologica Hungarica"
"ActaNeurobiolExpWarsz","Acta Neurobiol. Exp.","ACTA Neurobiologiae Experimentalis"
"ActaNeurochirWien","Acta Neurochir.","ACTA Neurochirurgica"
"ActaNeurochirSupplWien","Acta Neurochir. Suppl.","ACTA Neurochirurgica Supplementum"
"ActaNeurolNapoli","Acta Neurol.","ACTA Neurologica"
"ActaNeurolBelg","Acta Neurol. Belg.","ACTA Neurologica Belgica"
"ActaNeurolScand","Acta Neurol. Scand.","ACTA Neurologica Scandinavica"
"ActaNeurolScandSuppl","Acta Neurol. Scand. Suppl.","ACTA Neurologica Scandinavica. Supplementum"
"ActaNeuropatholBerl","Acta Neuropathol.","ACTA Neuropathologica"
"ActaObstetGynecolScand","Acta Obstet. Gynecol. Scand.","ACTA Obstetricia et Gynecologica Scandinavica"
"ActaObstetGynecolScandSuppl","Acta Obstet. Gynecol. Scand. Suppl.","ACTA Obstetricia et Gynecologica Scandinavica. Supplement"
"ActaOdontolScand","Acta Odontol. Scand.","ACTA Odontologica Scandinavica"
"ActaOecol","ACTA Oecol.","ACTA Oecologica"
"ActaOncol","Acta Oncol.","ACTA Oncologica"
"ActaOphthalmolCopenh","Acta Ophthalmol.","ACTA Ophthalmologica"
"ActaOphthalmolScand","Acta Ophthalmol. Scand.","ACTA Ophthalmologica Scandinavica"
"ActaOphthalmolSupplCopenh","Acta Ophthalmol. Suppl.","ACTA Ophthalmologica. Supplementum"
"ActaOrthopBelg","Acta Orthop. Belg.","ACTA Orthopaedica Belgica"
"ActaOrthopScand","Acta Orthop. Scand.","ACTA Orthopaedica Scandinavica"
"ActaOrthopScandSuppl","Acta Orthop. Scand. Suppl.","ACTA Orthopaedica Scandinavica. Supplementum"
"ActaOtolaryngolStockh","Acta Otolaryngol.","ACTA Oto-laryngologica"
"ActaOtolaryngolSupplStockh","Acta Otolaryngol. Suppl.","ACTA Oto-laryngologica. Supplement"
"ActaOtorhinolaryngolBelg","Acta Otorhinolaryngol. Belg.","ACTA Oto-rhino-laryngologica Belgica"
"ActaOtorhinolaryngolItal","Acta Otorhinolaryngol. Ital.","ACTA Otorhinolaryngologica Italica"
"ActaOtorrinolaringolEsp","Acta Otorrinolaringol. Esp.","ACTA Otorrinolaringologica Espanola"
"ActaPaediatrStockholm","Acta Paediatr.","Acta Paediatrica"
"ActaPaediatrHung","Acta Paediatr. Hung.","ACTA Paediatrica Hungarica"
"ActaPaediatrJpn","Acta Paediatr. Jpn.","ACTA Paediatrica Japonica"
"ActaPaediatrScandSuppl","Acta Paediatr. Scand. Suppl.","ACTA Paediatrica Scandinaica Supplement"
"ActaPaediatrScand","Acta Paediatr. Scand.","ACTA Paediatrica Scandinavica"
"ActaPaediatrSin","Acta Paediatr. Sin.","ACTA Paediatrica Sinica"
"ActaPaedopsychiatr","Acta Paedopsychiatr.","ACTA Paedpsychiatrica"
"ActaPatholJpn","Acta Pathol. Jpn.","ACTA Pathologica Japonica"
"ActaPatholMicrobiolImmunolScand","Acta Pathol. Microbiol. Immunol. Scand.","Acta Pathologica, Microbiologicaet Immunologica Scandinavica"
"ActaPharmHung","Acta Pharm. Hung.","ACTA Pharmaceutica Hungarica"
"ActaPharmNord","Acta Pharm. Nord.","ACTA Pharmaceutica Nordica"
"ActaPharmacolSin","Acta Pharmacol. Sin.","ACTA Pharmacologica Sinica"
"ActaPhysiolPharmacolBulg","Acta Physiol. Pharmacol. Bulg.","ACTA Physiologica et Pharmacologica Bulgarica"
"ActaPhysiolPharmacolLatinoam","Acta Physiol. Pharmacol. Latinoam.","ACTA Physiologica et Pharmacologica Latinoamericana"
"ActaPhysiolHung","Acta Physiol. Hung.","ACTA Physiologica Hungarica"
"ActaPhysiolScand","Acta Physiol. Scand.","ACTA Physiologica Scandinavica"
"ActaPhysiolScandSuppl","Acta Physiol. Scand. Suppl.","ACTA Physiologica Scandinavica Supplement"
"ActaPhytoecoSin","Acta Phytoecol. Sin.","ACTA Phytoecologica Sinica"
"ActaPhytotaxonomicaSin","Acta Phytotaxonomica Sin.","ACTA Phytotaxonomica Sinica"
"ActaPratacultSin","ACTA Pratacult. Sin.","ACTA Prataculturae Sinica"
"ActaPsiquiatrPsicolAmLat","Acta Psiquiatr. Psicol. Am. Lat.","ACTA Psiquiatrica Y Psicologica de America Latina"
"ActaPsychiatrBelg","Acta Psychiatr. Belg.","ACTA Psychiatrica Belgica"
"ActaPsychiatrScand","Acta Psychiatr. Scand.","ACTA Psychiatrica Scandinavica"
"ActaPsychiatrScandSuppl","Acta Psychiatr. Scand. Suppl.","ACTA Psychiatrica Scandinavica. Supplementum"
"ActaPsycholAmst","Acta Psychol.","ACTA Psychologica"
"ActaRadiol","Acta Radiol.","ACTA Radiologica ("
"ActaRadiolSupplStockh","Acta Radiol. Suppl.","ACTA Radiologica. Supplementum"
"ActaStomatolBelg","Acta Stomatol. Belg.","ACTA Stomatologica Belgica"
"ActaTheriolWarsz","Acta Theriol.","ACTA Theriologica"
"ActaTropBasel","Acta Trop.","ACTA Tropica"
"ActaUnionIntContr","Acta Union. Int. Contr.","Acta Unio Internationalis Contra Cancrum"
"ActaUnivCarolMedPraha","Acta Univ. Carol. [Med.]","ACTA Universitatis Carolinae. Medica"
"ActaUnivCarolMedMonogrPraha","Acta Univ. Carol. [Med. Monogr.]","ACTA Universitatis Carolinae. Medica. Monographia"
"ActaUnivPalackiOlomucFacMed","Acta Univ. Palacki. Olomuc. Fac. Med.","ACTA Universitatis Palackianae Olomucensis Facultatis Medicae"
"ActaUrolBelg","Acta Urol. Belg.","ACTA Urologica Belgica"
"ActaVetHung","Acta Vet. Hung.","ACTA Veterinaria Hungarica"
"ActaVetScand","Acta Vet. Scand.","ACTA Veterinaria Scandinavica"
"ActaVetScandSuppl","Acta Vet. Scand. Suppl.","ACTA Veterinaria Scandinavica. Supplement"
"ActaVirolPraha","Acta Virol.","ACTA Virologica"
"ActaZool","Acta Zool.","ACTA Zoologica"
"ActasLusoEspNeurolPsiquiatrCiencAfines","Actas Luso. Esp. Neurol. Psiquiatr. Cienc. Afines","ACTAS Luso-Espanolas de Neurologia, Psiquiatria Y Ciencias Afines"
"ActasUrolEsp","Actas Urol. Esp.","ACTAS Urologicas Espanolas"
"AcupunctElectrotherRes","Acupunct. Electrother. Res.","Acupuncture and Electro-Therapeutics Research"
"AddictBehav","Addict. Behav.","Addictive Behaviors"
"Adolescence","Adolescence","Adolescence"
"AdolescPsychiatry","Adolesc. Psychiatry","Adolescent Psychiatry"
"AdvDrugDelivRev","Adv. Drug Deliv. Rev.","Advanced Drug Delivery Reviews"
"AdvTechStandNeurosurg","Adv. Tech. Stand. Neurosurg.","Advances and Technical Standards in Neurosurgery"
"AdvAlcoholSubstAbuse","Adv. Alcohol. Subst. Abuse","Advances in Alcohol and Substance Abuse"
"AdvAnatEmbryolCellBiol","Adv. Anat. Embryol. Cell Biol.","Advances in Anatomy, Embryology and Cell Biology"
"AdvApplMicrobiol","Adv. Appl. Microbiol.","Advances in Applied Microbiology"
"AdvAtmosphericSci","Adv. Atmospheric Sci.","Advances in Atmospheric Sciences"
"AdvBiochemEngBiotechnol","Adv. Biochem. Eng. Biotechnol.","Advances in Biochemical Engineering/ Biotechnology"
"AdvBiochemPsychopharmacol","Adv. Biochem. Psychopharmacol.","Advances in Biochemical Psychopharmacology"
"AdvBiophys","Adv. Biophys.","Advances in Biophysics"
"AdvBiotevhnolProcesses","Adv. Biotevhnol. Processes","Advances in Biotechnological Processes"
"AdvCancerRes","Adv. Cancer Res.","Advances in Cancer Research"
"AdvCarbohydrChemBiochem","Adv. Carbohydr. Chem. Biochem.","Advances in Carbohydrate Chemistry and Biochemistry"
"AdvCardiol","Adv. Cardiol.","Advances in Cardiology"
"AdvChildDevBehav","Adv. Child Dev. Behav.","Advances in Child Development and Behavior"
"AdvChromatogr","Adv. Chromatogr.","Advances in Chromatography"
"AdvClinChem","Adv. Clin. Chem.","Advances in Clinical Chemistry"
"AdvColloidInterfaceSci","Adv. Colloid. Interface Sci.","Advances in Colloid and Interface Science"
"AdvContracept","Adv. Contracept.","Advances in Contraception"
"AdvDermatol","Adv. Dermatol.","Advances in Dermatology"
"AdvDermatolAllergol","Adv. Dermatol. Allergol.","Advances in Dermatology and Allergology [Postepy Dermatologii i Alergologii]"
"AdvEcolRes","Adv. Ecol. Res.","Advances in Ecological Research"
"AdvEnzymeRegul","Adv. Enzyme Regul.","Advances in Enzyme Regulation"
"AdvEnzymolRelatAreasMolBiol","Adv. Enzymol. Relat. Areas Mol. Biol.","Advances in Enzymology and Related Ares of Molecular Biology"
"AdvExpMedBiol","Adv. Exp. Med. Biol.","Advances in Experimental Medicine and Biology"
"AdvFoodNutrRes","Adv. Food Nutr. Res.","Advances in Food and Nutrition Research"
"AdvGenet","Adv. Genet.","Advances in Genetics"
"AdvHeadNeckSurg","Adv. Head Neck Surg.","Advances in Head and Neck Surgery [Postepy Chirurgii Glowy i Szyi]"
"AdvHumGenet","Adv. Hum. Genet.","Advances in Human Genetics"
"AdvImmunCancerTher","Adv. Immun. Cancer Ther.","Advances in Immunity and Cancer Therapy"
"AdvImmunol","Adv. Immunol.","Advances in Immunology"
"AdvInorgBiochem","Adv. Inorg. Biochem.","Advances in Inorganic Biochemistry"
"AdvInternMed","Adv. Intern. Med.","Advances in Internal Medicine"
"AdvLipidRes","Adv. Lipid Res.","Advances in Lipid Research"
"amb","Adv. Mar. Biol.","Advances in Marine Biology"
"AdvMicrobEcol","Adv. Microb. Ecol.","Advances in Microbial Ecology"
"AdvMicrobPhysiol","Adv. Microb. Physiol.","Advances in Microbial Physiology"
"AdvNephrolNeckerHosp","Adv. Nephrol. Necker. Hosp.","Advances in Nephrology from the Necker Hospital"
"AdvNeuroimmunol","Adv. Neuroimmunol.","Advances in Neuroimmunology"
"AdvNeurol","Adv. Neurol.","Advances in Neurology"
"AdvNutrRes","Adv. Nutr. Res.","Advances in Nutritional Research"
"AdvOphthalmicPlastReconstrSurg","Adv. Ophthalmic. Plast. Reconstr. Surg.","Advances in Ophthalmic, Plastic, and Reconstructive Surgery"
"AdvOtorhinolaryngol","Adv. Otorhinolaryngol.","Advances in Oto-Rhino-Laryngology"
"AdvParasitol","Adv. Parasitol.","Advances in Parasitology"
"AdvPediatrInfectDis","Adv. Pediatr. Infect. Dis.","Advances in Pediatric Infectious Diseases"
"AdvPediatr","Adv. Pediatr.","Advances in Pediatrics"
"AdvPeritDial","Adv. Perit. Dial.","Advances in Peritoneal Dialysis"
"AdvPharmacol","Adv. Pharmacol.","Advances in Pharmacology"
"AdvPhysiolEd","Adv. Physiol. Ed.","Advances in Physiology Education"
"AdvProstaglandinThromoxaneLeukotres","Adv. Prostaglandin Thromoxane Leukot Res.","Advances in Prostaglandin, Thromboxane, and Leukotriene Research"
"AdvProteinChem","Adv. Protein Chem.","Advances in Protein Chemistry"
"AdvPsychosomMed","Adv. Psychosom. Med.","Advances in Psychosomatic Medicine"
"AdvSecondMessengerPhosphoproteinRes","Adv. Second Messenger Phosphoprotein Res.","Advances in Second Messenger and Phosphoprotein Research"
"AdvSkinWoundCare","Adv. Skin Wound Care","Advances in Skin Wound Care"
"AdvSmallAnimMedSurg","Adv. Small Anim. Med. Surg.","Advances in Small Animal Medicine and Surgery"
"AdvSurg","Adv. Surg.","Advances in Surgery"
"AdvVetSciCompMed","Adv. Vet. Sci. Comp. Med.","Advances in Veterinary Science and Comparative Medicine"
"AdvVirusRes","Adv. Virus Res.","Advances in Virus Research"
"AdvWatResources","Adv. Wat. Resources","Advances in Water Resources"
"AdverseDrugReactToxicolRev","Adverse Drug React. Toxicol. Rev.","Adverse Drug Reactions and Toxicological Reviews"
"AdverseReactTitles","Adverse React. Titles","Adverse Reactions Titles"
"Aerobiologia","Aerobiologia","Aerobiologia"
"AestheticPlastSurg","Aesthetic Plast. Surg.","Aesthetic Plastic Surgery"
"AfrEntomol","Afr. Entomol.","African Entomology"
"AfrJBiotechnol","Afr. J. Biotechnol.","African Journal of Biotechnology"
"AfrJEcol","Afr. J. Ecol.","African Journal of Ecology"
"AfrJHerpetol","Afr. J. Herpetol.","African Journal of Herpetology"
"AfrJMedMedSci","Afr. J. Med. Med. Sci.","African Journal of Medicine and Medical Sciences"
"AfrStudyMonogr","Afr. Study Monogr.","African Study Monographs"
"AgeAgeing","Age Ageing","Age and Ageing"
"AgentsActions","Agents Actions","Agents and Actions"
"AAS.Supplement","AAS. Supplement","Agents and Actions, Supplements"
"AgentsActionsSuppl","Agents Actions Suppl.","Agents and Actions. Supplements"
"Agressologie","Agressologie","Agressologie"
"AgricultForestMeterol","Agricult. Forest. Meterol.","Agricultural and Forest Meteorology"
"AgricultEcon","Agricult. Econ.","Agricultural Economics"
"AgricultMeteorol","Agricult. Meteorol.","Agricultural Meteorology"
"AgricultSci","Agricult. Sci.","Agricultural Science"
"AgricultSys","Agricult. Sys.","Agricultural Systems"
"AgricultWaterManag","Agricult. Water Manag.","Agricultural Water Management"
"AgricultEcosysEnviron","Agricult. Ecosys. Environ.","Agriculture, Ecosystems and Environment"
"Agronomie","Agronomie","Agronomie"
"AgronJ","Agron. J.","Agronomy Journal"
"AIDS","AIDS","AIDS"
"AIDSCare","AIDS Care","AIDS Care"
"AIDSClinRev","AIDS Clin. Rev.","AIDS Clinical Review"
"AIDSEducPrev","AIDS Educ. Prev.","AIDS Education and Prevention"
"AIDSNewslett","AIDS Newslett.","AIDS Newsletter"
"AIDSResHumRetroviruses","AIDS Res. Hum. Retroviruses","AIDS Research and Human Retroviruses"
"AIDSTargetInform","AIDS Target Inform.","AIDS Targeted Information"
"AJNRAmJNeuroradiol","AJNR Am. J. Neuroradiol.","AJNR. American Journal of Neuroradiology"
"AJRAmJRoentgenol","AJR Am. J. Roentgenol.","AJR. American Journal of Roentgenology"
"AktualProblChirOrthop","Aktual. Probl. Chir. Orthop.","Aktuelle Probleme in Chirurgie und Orthopadie"
"AktuelleRadiol","Aktuelle Radiol.","Aktuelle Radiologie"
"AktuelTraumatol","Aktuel Traumatol.","Aktuelle Traumatologie"
"AkushGinekolMosk","Akush. Ginekol.","Akusherstvo I Ginekologiia"
"AlaMed","Ala. Med.","Alabama Medicine"
"AlaskaMed","Alaska Med.","Alaska Medicine"
"Alcohol","Alcohol","Alcohol"
"AlcoholAlcohol","Alcohol Alcohol.","Alcohol and Alcoholism"
"AlcoholAlcoholSuppl","Alcohol Alcohol. Suppl.","Alcohol and Alcoholism. Supplement"
"AlcoholResHealth","Alcohol Res. Health","Alcohol Research & Health"
"AlcoholClinExpRes","Alcohol Clin. Exp. Res.","Alcoholism, Clinical and Experimental Research"
"AlimentPharmacolTher","Aliment. Pharmacol. Ther.","Alimentary Pharmacology and Therapeutics"
"AllergImmunolParis","Allerg. Immunol.","Allergie et Immunologie"
"AllergImmunolLeipz","Allerg. Immunol.","Allergie und Immunologie"
"AllergolImmunopatholMadr","Allergol. Immunopathol.","Allergologia et Immunopathologia"
"AllergolInt","Allergol. Int.","Allergology International"
"Allergy","Allergy","Allergy"
"AllergyProc","Allergy Proc.","Allergy Proceedings"
"AlzheimerDisAssocDisord","Alzheimer Dis. Assoc. Disord.","Alzheimer Disease and Associated Disorders"
"AMBRevAssocMedBras","AMB Rev. Assoc. Med. Bras.","AMB; Revista da Associacao Medica Brasileira"
"AmAnnDeaf","Am. Ann. Deaf","American Annals of the Deaf"
"AmAnthropol","Am. Anthropol.","American Anthropologist"
"AmFamPhysician","Am. Fam. Physician","American Family Physician"
"afss","Am. Fish. Soc. Symp.","American Fisheries Society Symposium"
"AmHeartJ","Am. Heart J.","American Heart Journal"
"AmIndianAlskNativeMentHealthRes","Am. Indian. Alsk. Native Ment. Health Res.","American Indian and Alaska Native Mental Health Research"
"AmIndHygAssocJ","Am. Ind. Hyg. Assoc. J.","American Industrial Hygiene Association Journal"
"AmJAgEcon","Am. J. Agricult. Econ.","American Journal of Agricultural Economics"
"AmJBot","Am. J. Bot.","American Journal of Botany"
"AmJCardiol","Am. J. Cardiol.","American Journal of Cardiology"
"AmJCardiovascPathol","Am. J. Cardiovasc. Pathol.","American Journal of Cardiovascular Pathology"
"AmJChinMed","Am. J. Chin. Med.","American Journal of Chinese Medicine"
"AmJClinHypn","Am. J. Clin. Hypn.","American Journal of Clinical Hypnosis"
"AmJClinNutr","Am. J. Clin. Nutr.","American Journal of Clinical Nutrition"
"AmJClinOncol","Am. J. Clin. Oncol.","American Journal of Clinical Oncology"
"AmJClinPath","Am. J. Clin. Path.","American Journal of Clinical Pathology"
"AmJCommunityPsychol","Am. J. Community Psychol.","American Journal of Community Psychology"
"AmJDermatopathol","Am. J. Dermatopathol.","American Journal of Dermatopathology"
"AmJDisChild","Am. J. Dis. Child.","American Journal of Diseases of Children"
"AmJDrugAlcoholAbuse","Am. J. Drug. Alcohol Abuse","American Journal of Drug and Alcohol Abuse"
"AmJEmergMed","Am. J. Emerg. Med.","American Journal of Emergency Medicine"
"AmJEpidemiol","Am. J. Epidemiol.","American Journal of Epidemiology"
"AmJForensicMedPathol","Am. J. Forensic. Med. Pathol.","American Journal of Forensic Medicine and Pathology"
"AmJGastroenterol","Am. J. Gastroenterol.","American Journal of Gastroenterology"
"AmJHematol","Am. J. Hematol.","American Journal of Hematology"
"AmJHospPharm","Am. J. Hosp. Pharm.","American Journal of Hospital Pharmacy"
"AmJHumBiol","Am. J. Hum. Biol.","American Journal of Human Biology"
"AmJHumGenet","Am. J. Hum. Genet.","American Journal of Human Genetics"
"AmJHypertens","Am. J. Hypertens.","American Journal of Hypertension"
"AmJIndMed","Am. J. Ind. Med.","American Journal of Industrial Medicine"
"AmJInfectControl","Am. J. Infect. Control","American Journal of Infection Control"
"AmJKidneyDis","Am. J. Kidney Dis.","American Journal of Kidney Diseases"
"AmJKneeSurg","Am. J. Knee Surg.","American Journal of Knee Surgery"
"AmJLawMed","Am. J. Law Med.","American Journal of Law and Medicine"
"AmJMedGenet","Am. J. Med. Genet.","American Journal of Medical Genetics"
"AmJMedGenetSuppl","Am. J. Med. Genet. Suppl.","American Journal of Medical Genetics Supplement"
"AmJMed","Am. J. Med.","American Journal of Medicine"
"AmJMentRetard","Am. J. Ment. Retard.","American Journal of Mental Retardation"
"AmJNephrol","Am. J. Nephrol.","American Journal of Nephrology"
"AmJNurs","Am. J. Nurs.","American Journal of Nursing"
"AmJObstetGynecol","Am. J. Obstet. Gynecol.","American Journal of Obstetrics and Gynecology"
"AmJOccupTher","Am. J. Occup. Ther.","American Journal of Occupational Therapy"
"AmJOphthalmol","Am. J. Ophthalmol.","American Journal of Ophthalmology"
"AmJOrthodDentofacialOrthop","Am. J. Orthod. Dentofacial. Orthop.","American Journal of Orthodontics and Dentofacial Orthopedics"
"AmJOrthopsychiatry","Am. J. Orthopsychiatry","American Journal of Orthopsychiatry"
"AmJOtolaryngol","Am. J. Otolaryngol.","American Journal of Otolaryngology"
"AmJOtol","Am. J. Otol.","American Journal of Otology"
"AmJPathol","Am. J. Pathol.","American Journal of Pathology"
"AmJPediatrHematolOncol","Am. J. Pediatr. Hematol. Oncol.","American Journal of Pediatric Hematology/Oncology"
"AmJPerinatol","Am. J. Perinatol.","American Journal of Perinatology"
"AmJPharmEduc","Am. J. Pharm. Educ.","American Journal of Pharmaceutical Education"
"AmJPhysAnthropol","Am. J. Phys. Anthropol.","American Journal of Physical Anthropology"
"AmJPhysMedRehabil","Am. J. Phys. Med. Rehabil.","American Journal of Physical Medicine and Rehabilitation"
"AmJPhysiolImaging","Am. J. Physiol. Imaging","American Journal of Physiologic Imaging"
"AmJPhysiol","Am. J. Physiol.","American Journal of Physiology"
"AmJPrevMed","Am. J. Prev. Med.","American Journal of Preventive Medicine"
"AmJPrimatol","Am. J. Primatol.","American Journal of Primatology"
"AmJPsychiatry","Am. J. Psychiatry","American Journal of Psychiatry"
"AmJPsychoanal","Am. J. Psychoanal.","American Journal of Psychoanalysis"
"AmJPsychol","Am. J. Psychol.","American Journal of Psychology"
"AmJPsychother","Am. J. Psychother.","American Journal of Psychotherapy"
"AmJPublicHealth","Am. J. Public Health","American Journal of Public Health"
"AmJReprodImmunol","Am. J. Reprod. Immunol.","American Journal of Reproductive Immunology"
"AmJRespirCritCareMed","Am. J. Respir. Crit. Care Med.","American Journal of Respiratory and Critical Care Medicine"
"AmJRespirCellMolBiol","Am. J. Respir. Cell Mol. Biol.","American Journal of Respiratory Cell and Molecular Biology"
"AmJRhinol","Am. J. Rhinol.","American Journal of Rhinology"
"AmJSportsMed","Am. J. Sports Med.","American Journal of Sports Medicine"
"AmJSurg","Am. J. Surg.","American Journal of Surgery"
"AmJSurgPathol","Am. J. Surg. Pathol.","American Journal of Surgical Pathology"
"AmJMedSci","Am. J. Med. Sci.","American Journal of the Medical Sciences"
"AmJTropMedHyg","Am. J. Trop. Med. Hyg.","American Journal of Tropical Medicine and Hygiene"
"AmJVetRes","Am. J. Vet. Res.","American Journal of Veterinary Research"
"AmMedNews","Am. Med. News","American Medical News"
"AmerMidlNat","Am. Midl. Nat.","American Midland Naturalist"
"AmerNat","Am. Nat.","American Naturalist"
"AmPharm","Am. Pharm.","American Pharmacy"
"AmPsychol","Am. Psychol.","American Psychologist"
"AmRevRespirDis","Am. Rev. Respir. Dis.","American Review of Respiratory Disease"
"AmerSci","Amer. Sci.","American Scientist"
"AmSurg","Am. Surg.","American Surgeon"
"AmerZool","Amer. Zool.","American Zoologist"
"AnimLearnBehav","Anim. Learn. Behav.","Amimal Learning and Behavior"
"AminoAcids","Amino Acids","Amino Acids"
